1,1,#FEFAFB,#DF334E,#33dfc4
1,2,#FFF4F9,#DA006E,#23da6c
1,3,#FFE5EA,#FF0033,#2bfecc
1,4,#FFE5EF,#FF0066,#2afd99
1,5,#FCF2F6,#DA508F,#50da9b

2,1,#FFF2E5,#FF9933,#3298fc
2,2,#FEEEE5,#FD7D33,#33b3fc
2,3,#FEFBFA,#EB6940,#40c2eb
2,4,#FEECE5,#FD9267,#67d2fd
2,5,#FFF6EA,#FFA822,#2279fb

3,1,#FFFAE5,#FDCE00,#0c2ffb
3,2,#F8F3E2,#DBC266,#667fdb
3,3,#FEF6E5,#FEC34C,#4c87fb
3,4,#FFFFE5,#FFFF00,#0b24fb
3,5,#FDFCF0,#F0E34A,#4a57f0

4,1,#FAFCF7,#8FC947,#8147c9
4,2,#EDFFE5,#339900,#661399
4,3,#EBF8F2,#66CC99,#cc6699
4,4,#EEF5F5,#4A827D,#824a4f
4,5,#EFFFFB,#30A086,#a0304a

5,1,#EAF9F9,#48D1CC,#d1484d
5,2,#F5F7F9,#A3BACD,#cdb6a3
5,3,#FFFEFE,#87CEFA,#fab387
5,4,#EDF7FB,#2595C7,#c75725
5,5,#F2FAFB,#53BBD3,#d36b53

6,1,#F6F8FC,#284799,#997a28
6,2,#EBEBF8,#333399,#999933
6,3,#F4FBFF,#0065A6,#a64112
6,4,#EFF1F5,#3A4861,#615339
6,5,#EAEAF9,#3333CC,#cccc33

7,1,#FCF7FB,#A83284,#32a856
7,2,#F2EBF8,#663399,#659932
7,3,#F6EEF6,#A757A8,#58a857
7,4,#F6F5F9,#634E86,#70864e
7,5,#FBF7FA,#743357,#337450

8,1,#FFE5ED,#ff6699,#63f7c7
8,2,#FEF0F5,#F43578,#35f4b1
8,3,#FFEAFB,#FF51E4,#51fd6b
8,4,#FCE7F2,#D0167A,#21d06c
8,5,#FDF1F5,#E75685,#56e7b8
